end my swim,StopActivity,swim
I want to start swimming,StartActivity,swimming
I enjoyed my bike ride. Please end the activity,StopActivity,bike ride
my hike is over,StopActivity,hike
set my target for heart rate to 120,SetHRtarget,120
I am exhausted and am stopping my jog,StopActivity,jog
I'm done,StopActivity,
swim complete,StopActivity,swim
Let my HR rise to 170,SetHRtarget,170
my hike starts now,StartActivity,hike
follow my bike ride please,StartActivity,bike ride
start tracking my hike in 5 minutes,StartActivity,hike
these are my last 10 minutes. Please stop after that,StopActivity, 
end my phone call,None,
"I survived, tracking complete",StopActivity, 
where is the nearest McDonalds,None, 
start tracking a run once I reach Soldiers Field,StartActivity,run
set my alarm clock to 7 am,None, 
commence walk,StartActivity,walk
"time for a duel, track it please",StartActivity,duel
I start skiing now,StartActivity,skiiing
Wake me up when September ends,None, 
Start tracking this climb,StartActivity,climb
End tracking this walk,StopActivity,walk
start playing yellow submarine,None, 
